Vendor Name,Website,Headquarters,Solution Categories / Tags,Primary Product(s) / Platform,AI Capabilities (concise),Deployment Options,Integrations / Connectors,Data Coverage (lists/datasets/signals),Certifications / Attestations,Awards / Trust Signals,Customer Segments,Benefits Snapshot,Maturity Assessment,Contact Email (best guess),Contact Page URL,Logo (Clearbit PNG URL),Brand SVG URL (guessed paths),Notes / Source Hints
Silent Eight,https://www.silenteight.com,Singapore / New York,Sanctions & Name Screening; Alert Resolution; AML Investigations,Iris,Agentic AI + NLP for alert adjudication; explainable decisions,SaaS; API; on-prem (enterprise),Core banking / case mgmt (various),"Sanctions, PEP/adverse media (via partners), payment/name screening",—,Used by global banks; focus on explainability,Banks; global FIs,Cut false positives and investigation time with explainable decisions,Scale-up / Enterprise,info@silenteight.com; contact@silenteight.com; sales@silenteight.com; support@silenteight.com,https://silenteight.com/contact | https://silenteight.com/contact-us | https://silenteight.com/contacts | https://silenteight.com/company/contact,https://logo.clearbit.com/silenteight.com,https://silenteight.com/logo.svg or https://silenteight.com/assets/logo.svg or https://silenteight.com/static/logo.svg or https://silenteight.com/img/logo.svg or https://silenteight.com/favicon.svg,Verify AI positioning & certifications on vendor site
Napier AI,https://www.napier.ai,"London, UK",AML TM; Screening; KYC/CDD,Continuum (hosted) / Flow (API),Explainable AI models; risk scoring; scenario testing,SaaS; API; private cloud,"Temenos, core banking, data partners",Transactions; sanctions; PEP/adverse media (integrations),—,Enterprise deployments; analyst recognition,Banks; fintechs,"Lower TCO, faster implementation, reduced false positives",Scale-up / Enterprise,info@napier.ai; contact@napier.ai; sales@napier.ai; support@napier.ai,https://napier.ai/contact | https://napier.ai/contact-us | https://napier.ai/contacts | https://napier.ai/company/contact,https://logo.clearbit.com/napier.ai,https://napier.ai/logo.svg or https://napier.ai/assets/logo.svg or https://napier.ai/static/logo.svg or https://napier.ai/img/logo.svg or https://napier.ai/favicon.svg,Check docs for model governance & certifications
Neterium,https://www.neterium.io,"Liège, Belgium",Sanctions/List Screening API; Payment Screening (ISO 20022),Jetflow / JetScan (API),High-performance fuzzy matching; API-native; real-time,API-first (cloud),"SAS (partnership), payment processors",Sanctions; PEP/adverse media via partners,—,Performance focus; modern API design,Banks; PSPs; fintechs; exchanges,"Real-time throughput, easy integration",Scale-up,info@neterium.io; contact@neterium.io; sales@neterium.io; support@neterium.io,https://neterium.io/contact | https://neterium.io/contact-us | https://neterium.io/contacts | https://neterium.io/company/contact,https://logo.clearbit.com/neterium.io,https://neterium.io/logo.svg or https://neterium.io/assets/logo.svg or https://neterium.io/static/logo.svg or https://neterium.io/img/logo.svg or https://neterium.io/favicon.svg,Confirm partner ecosystem on site
DISCAI (KBC Group),https://www.discai.com,"Brussels, Belgium",AML Transaction Monitoring (KYT),AML AI (bank-proven),Explainable ML anomaly detection; network insights,SaaS; enterprise deployments,Bank data ecosystems; Tech Mahindra partnership,Payment transactions (KYT),—,Backed by KBC Group,Banks,Bank-proven models; improved detection,Scale-up,info@discai.com; contact@discai.com; sales@discai.com; support@discai.com,https://discai.com/contact | https://discai.com/contact-us | https://discai.com/contacts | https://discai.com/company/contact,https://logo.clearbit.com/discai.com,https://discai.com/logo.svg or https://discai.com/assets/logo.svg or https://discai.com/static/logo.svg or https://discai.com/img/logo.svg or https://discai.com/favicon.svg,Check for case studies & certifications
Hawk AI,https://hawk.ai,"Munich, Germany",AML TM; Payment Screening; pKYC,Hawk AI Platform,Explainable AI (natural-language rationales); hybrid rules+ML,SaaS; API; cloud marketplace,Card networks; core banking; case mgmt,Transactions; payments; sanctions lists (integrations),—,Analyst recognition; payment network partnerships,Banks; PSPs,Reduce false positives; faster investigations,Scale-up,info@hawk.ai; contact@hawk.ai; sales@hawk.ai; support@hawk.ai,https://hawk.ai/contact | https://hawk.ai/contact-us | https://hawk.ai/contacts | https://hawk.ai/company/contact,https://logo.clearbit.com/hawk.ai,https://hawk.ai/logo.svg or https://hawk.ai/assets/logo.svg or https://hawk.ai/static/logo.svg or https://hawk.ai/img/logo.svg or https://hawk.ai/favicon.svg,Verify ISO/SOC2 status on site
ComplyAdvantage,https://complyadvantage.com,"London, UK",Sanctions/Watchlist Screening; PEP & Adverse Media; Risk Data,ComplyAdvantage Platform / Mesh API,NLP for adverse media; AI-enhanced matching; real-time API,SaaS; API,Core systems; onboarding orchestration,Sanctions; watchlists; PEP; adverse media,—,Widely used; developer-first approach,Banks; fintechs; PSPs,Fast screening; fresh data; developer-friendly,Scale-up,info@complyadvantage.com; contact@complyadvantage.com; sales@complyadvantage.com; support@complyadvantage.com,https://complyadvantage.com/contact | https://complyadvantage.com/contact-us | https://complyadvantage.com/contacts | https://complyadvantage.com/company/contact,https://logo.clearbit.com/complyadvantage.com,https://complyadvantage.com/logo.svg or https://complyadvantage.com/assets/logo.svg or https://complyadvantage.com/static/logo.svg or https://complyadvantage.com/img/logo.svg or https://complyadvantage.com/favicon.svg,Check data dictionaries & SLA
Quantexa,https://www.quantexa.com,"London, UK",Decision Intelligence; Entity Resolution; AML/KYC/Fraud,Decision Intelligence Platform,Graph analytics; entity resolution; GenAI assistant (Q),Enterprise deployments; cloud/on-prem,Core banking; data lakes; case mgmt,Internal + external data; network graphs,—,Tier?1 banks; global footprint,Banks; insurers; public sector,Context builds precision in detection & KYC,Enterprise,info@quantexa.com; contact@quantexa.com; sales@quantexa.com; support@quantexa.com,https://quantexa.com/contact | https://quantexa.com/contact-us | https://quantexa.com/contacts | https://quantexa.com/company/contact,https://logo.clearbit.com/quantexa.com,https://quantexa.com/logo.svg or https://quantexa.com/assets/logo.svg or https://quantexa.com/static/logo.svg or https://quantexa.com/img/logo.svg or https://quantexa.com/favicon.svg,Confirm certifications & regions
Lucinity,https://lucinity.com,"Reykjavik, Iceland",AML TM; Watchlist Screening; Case Mgmt,Lucinity Platform,Behavioral AI; GenAI copilot; explainable insights,SaaS; API,Risk & KYC partners; case tools,Transactions; sanctions/PEP via integrations,—,Modern UI; growing partner ecosystem,Banks; fintechs,Speed up investigations; better analyst UX,Scale-up,info@lucinity.com; contact@lucinity.com; sales@lucinity.com; support@lucinity.com,https://lucinity.com/contact | https://lucinity.com/contact-us | https://lucinity.com/contacts | https://lucinity.com/company/contact,https://logo.clearbit.com/lucinity.com,https://lucinity.com/logo.svg or https://lucinity.com/assets/logo.svg or https://lucinity.com/static/logo.svg or https://lucinity.com/img/logo.svg or https://lucinity.com/favicon.svg,Verify hosting regions & certs
ThetaRay,https://thetaray.com,"Tel Aviv, Israel",AML TM for Correspondent/Payments,SONAR,Unsupervised anomaly detection; cross-border focus,Enterprise; SaaS,Payments processors; banks,Cross?border payments; transactions,—,Used by banks & PSPs,Banks; PSPs,Find hidden patterns in cross?border flows,Scale-up / Enterprise,info@thetaray.com; contact@thetaray.com; sales@thetaray.com; support@thetaray.com,https://thetaray.com/contact | https://thetaray.com/contact-us | https://thetaray.com/contacts | https://thetaray.com/company/contact,https://logo.clearbit.com/thetaray.com,https://thetaray.com/logo.svg or https://thetaray.com/assets/logo.svg or https://thetaray.com/static/logo.svg or https://thetaray.com/img/logo.svg or https://thetaray.com/favicon.svg,Confirm deployment options & certs
Global Screening Services (GSS),https://www.gss-rose.com,"London, UK",Sanctions Screening for Payments (transaction),GSS Platform,Modern matching + explainability; payments?context screening,SaaS; API,Bank payment rails; instant payments,Sanctions lists across jurisdictions; payment context,—,Industry consortium; bank implementations,Banks; payment networks,High accuracy with low friction for real?time payments,Scale-up,info@gss-rose.com; contact@gss-rose.com; sales@gss-rose.com; support@gss-rose.com,https://gss-rose.com/contact | https://gss-rose.com/contact-us | https://gss-rose.com/contacts | https://gss-rose.com/company/contact,https://logo.clearbit.com/gss-rose.com,https://gss-rose.com/logo.svg or https://gss-rose.com/assets/logo.svg or https://gss-rose.com/static/logo.svg or https://gss-rose.com/img/logo.svg or https://gss-rose.com/favicon.svg,Check bank case studies
